id_subsistema;nom_subsistema;din_instante;val_gerhidraulica;val_gertermica;val_gereolica;val_gersolar;val_carga;val_intercambio
NE ;NORDESTE;2026-01-02 15:00:00;1905.357;557.5409999999999;7344.437999999999;8558.559;13466.589;5049.967
S  ;SUL;2026-01-02 15:00:00;8162.52;154.08100000000002;468.501;3986.839;13463.527;-687.588
SE ;SUDESTE/CENTRO-OESTE;2026-01-02 15:00:00;26228.823000000004;5714.901000000001;12.108;11731.431;46356.66900000001;-2525.6180000000004
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-02 15:00:00;40095.94000000001;7825.227000000001;8112.977999999999;25556.946;81891.61;0.0
N  ;NORTE;2026-01-02 16:00:00;6289.727000000001;1400.6689999999996;292.18;776.837;8566.365000000002;195.09899999999996
NE ;NORDESTE;2026-01-02 16:00:00;2472.09;575.6220000000001;8291.548999999999;5128.289000000001;13758.482;2967.245
S  ;SUL;2026-01-02 16:00:00;10012.627;137.536;646.1469999999999;2847.093;13318.945;327.053
SE ;SUDESTE/CENTRO-OESTE;2026-01-02 16:00:00;28799.978;6336.726;7.249;7731.047;46672.792;-3489.397
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-02 16:00:00;47574.422;8450.168000000001;9237.125;16483.266;82316.58;0.0
N  ;NORTE;2026-01-02 17:00:00;8256.978;1414.673;323.638;297.313;8375.394;1919.261
NE ;NORDESTE;2026-01-02 17:00:00;3925.948;644.651;9121.281;914.998;13527.729999999998;1161.832
S  ;SUL;2026-01-02 17:00:00;12529.809;168.575;691.889;1632.892;13635.129;1386.566
SE ;SUDESTE/CENTRO-OESTE;2026-01-02 17:00:00;31474.46999999999;6985.5;8.0;3750.646;46677.78999999999;-4467.659
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-02 17:00:00;56187.205;9212.871;10144.808;6595.849;82216.04;0.0
N  ;NORTE;2026-01-02 18:00:00;10858.361;1438.792;309.432;43.962;8319.409000000001;4333.143
NE ;NORDESTE;2026-01-02 18:00:00;5304.528;641.9010000000001;9212.394000000002;18.835;14425.242;761.5310000000001
S  ;SUL;2026-01-02 18:00:00;13419.98;172.833;575.9839999999999;527.605;13451.082;1241.471
SE ;SUDESTE/CENTRO-OESTE;2026-01-02 18:00:00;34010.835;7094.325999999999;9.286;543.1980000000001;47981.17;-6336.145
SIN;SISTEMA INTERLIGADO NACIONAL;2026-01-02 18:00:00;63593.704000000005;9347.139999999998;10107.096000000003;1133.6;84176.9;0.0
N  ;NORTE;2026-01-02 19:00:00;12314.382999999998;1456.2199999999996;358.595;3.022;8729.102999999997;5405.231
NE ;NORDESTE;2026-01-02 19:00:00;5504.781;643.544;8913.837;6.541;14749.524;331.29099999999994
S  ;SUL;2026-01-02 19:00:00;14380.818999999998;172.53199999999998;490.559;12.694;14229.990999999996;825.831
SE ;SUDESTE/CENTRO-OESTE;2026-01-02 19:00:00;36937.421;7107.493;9.873;17.499;50624.669;-6562.353
